Date,Alpha
1/1/1960,0.6367416977882385
1/1/1961,0.6337034106254578
1/1/1962,0.6291072964668274
1/1/1963,0.6263846755027771
1/1/1964,0.6243788003921509
1/1/1965,0.6193597912788391
1/1/1966,0.6228949427604675
1/1/1967,0.630079448
1/1/1968,0.634225607
1/1/1969,0.6438753008842468
1/1/1970,0.6489855647087097
1/1/1971,0.63764888
1/1/1972,0.6394450664520264
1/1/1973,0.6406667232513428
1/1/1974,0.6409685611724854
1/1/1975,0.6255608201026917
1/1/1976,0.6215898990631104
1/1/1977,0.6215961575508118
1/1/1978,0.6222950220108032
1/1/1979,0.622619629
1/1/1980,0.6243488788604736
1/1/1981,0.6142160296440125
1/1/1982,0.6167433261871338
1/1/1983,0.6038522720336914
1/1/1984,0.6019517779350281
1/1/1985,0.6023015379905701
1/1/1986,0.6077370047569275
1/1/1987,0.6159725785255432
1/1/1988,0.6206663846969604
1/1/1989,0.6118586659431458
1/1/1990,0.6151978969573975
1/1/1991,0.6150988340377808
1/1/1992,0.620048463
1/1/1993,0.6141963005065918
1/1/1994,0.6079543828964233
1/1/1995,0.6073774099349976
1/1/1996,0.607116163
1/1/1997,0.609609842
1/1/1998,0.6230132579803467
1/1/1999,0.6259886622428894
1/1/2000,0.6370731592178345
1/1/2001,0.6403365731239319
1/1/2002,0.6296166777610779
1/1/2003,0.6214457154273987
1/1/2004,0.6171151399612427
1/1/2005,0.6056353449821472
1/1/2006,0.6055108904838562
1/1/2007,0.6040037274360657
1/1/2008,0.6040886044502258
1/1/2009,0.591136098
1/1/2010,0.5879995822906494
1/1/2011,0.5926562547683716
1/1/2012,0.595092237
1/1/2013,0.5930569767951965
1/1/2014,0.5942705869674683
1/1/2015,0.5956462621688843
1/1/2016,0.5937725305557251
1/1/2017,0.5961511135101318
1/1/2018,0.5943259596824646
1/1/2019,0.5970911383628845
